Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
114,1.4017,0.3374,0.0030,-3.4776,-39.3577,-0.4649,1.5189,-0.5668,1.5189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,1.3047,0.3838,0.1781,-2.2659,-39.8609,-0.2984,1.2117,-0.5032,1.2117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
116,0.4161,1.9781,0.0233,-1.5545,-38.2106,-0.1685,0.7114,1.6502,0.7114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
117,1.8751,0.0487,0.1063,0.7226,-38.3214,-0.1276,2.2771,-0.1107,2.2771,4.7424,0.2865,0.0407,0.3326,-0.0356,-0.4876,0.0693
118,1.1394,0.2804,0.1196,1.8210,-39.0433,-0.1001,1.0983,-0.7219,1.0983,3.8559,0.5849,-0.3641,0.0785,-0.1263,-0.3224,-0.0404
119,1.3505,0.7265,0.0202,2.7752,-38.8234,-0.0109,0.9543,0.2199,0.9543,3.1263,0.3482,-0.2772,0.0380,-0.2233,-0.0801,0.0492
120,0.3147,0.9441,0.0919,3.0299,-37.6178,0.0524,0.2546,1.2056,0.2546,2.3768,-0.2388,0.3995,-0.0113,0.0263,0.2226,-0.1471
121,1.9517,0.1780,0.1755,5.4951,-37.2807,0.2096,2.4652,0.3371,2.4652,0.5535,-1.5167,-0.0313,-0.3443,0.0314,0.1621,-0.0093
122,0.3337,1.9923,0.1551,5.5172,-34.6859,0.5004,0.0221,2.5948,0.0221,4.5396,1.5775,0.4668,0.1367,0.0740,0.5390,-0.0361
123,0.4384,1.8622,0.1845,4.9599,-32.8994,0.4916,-0.5573,1.7865,-0.5573,4.4839,2.2628,-0.3031,0.2483,-0.0910,-0.0678,-0.1102
124,0.5205,0.5004,0.0410,5.3150,-32.5656,0.6284,0.3551,0.3338,0.3551,4.6548,2.1443,0.5326,-0.3136,0.0145,-0.0540,0.0425
125,1.6522,1.4962,0.1146,6.0068,-30.1562,0.7122,0.6918,2.4094,0.6918,4.9129,0.1472,0.1814,0.4305,0.1330,-0.3215,-0.0814
126,1.3320,0.6544,0.1799,6.6784,-28.3214,0.9008,0.6716,1.8348,0.6716,4.5501,-0.6730,-0.0164,-0.0376,0.0852,0.4477,-0.1909
127,0.5072,1.2447,0.0914,6.2280,-27.0470,1.0681,-0.4504,1.2744,-0.4504,4.6202,-1.3646,-0.4180,-0.0505,-0.1335,0.6968,0.1365
128,0.1402,0.6604,0.0095,5.9559,-26.1765,1.2202,-0.2721,0.8705,-0.2721,2.8689,-1.4164,0.3748,-0.1773,0.2145,0.1532,0.0133
129,1.6883,1.4587,0.0540,5.2718,-23.8262,1.3386,-0.6841,2.3504,-0.6841,4.1087,-1.9363,0.2253,-0.0058,0.0037,0.2982,0.0577
130,1.9986,0.7976,0.1435,4.9160,-21.6739,1.1589,-0.3558,2.1523,-0.3558,3.3054,1.7872,-0.3109,0.1319,-0.2881,0.3165,-0.0700
131,1.2411,1.5511,0.1471,4.0569,-19.5280,1.4714,-0.8591,2.1459,-0.8591,2.7255,-3.7819,-0.2749,-0.0004,-0.1589,0.0410,-0.1280
132,1.1763,0.2027,0.0366,3.6475,-18.0191,1.5609,-0.4095,1.5089,-0.4095,3.5136,-3.6500,0.0472,-0.3569,0.0390,0.1399,-0.1369
133,1.6677,1.7082,0.0555,1.8069,-15.9974,1.6285,-1.8405,2.0217,-1.8405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,0.3850,0.4015,0.0623,1.4783,-15.3632,1.6769,-0.3286,0.6342,-0.3286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
135,0.1699,1.8316,0.1328,-1.1935,-14.9779,1.9804,-2.6718,0.3853,-2.6718,5.1733,0.0249,0.1708,-0.3164,-0.0529,0.1366,0.0235
136,0.0394,1.3654,0.1009,-2.5470,-15.7198,2.0639,-1.3535,-0.7420,-1.3535,5.0282,0.8302,-0.4989,0.4800,-0.1480,0.5089,0.0669
137,1.0680,1.7645,0.1671,-4.6872,-15.0484,2.2688,-2.1402,0.6714,-2.1402,2.3409,0.8063,0.1376,0.1608,-0.0352,0.3950,-0.0646
138,1.0891,1.0270,0.0408,-6.4226,-15.5015,2.3083,-1.7355,-0.4531,-1.7355,3.7115,0.3928,0.0748,-0.3133,0.0216,-0.5874,0.3695
139,1.9541,0.0132,0.1304,-7.9384,-13.8429,2.4657,-1.5158,1.6586,-1.5158,2.1470,-5.6272,-0.0563,-0.0316,-0.0915,-0.0673,0.0476
140,1.4967,0.6868,0.1190,-9.4054,-13.3792,2.5657,-1.4670,0.4637,-1.4670,0.9422,-4.6294,0.0489,0.2306,0.0441,0.5467,0.0766
141,0.7971,1.0128,0.1351,-10.9266,-13.9189,2.7250,-1.5212,-0.5397,-1.5212,1.1042,-2.8099,-0.1353,-0.6604,0.0408,-0.1311,-0.0094
142,1.5575,0.4177,0.1817,-12.1868,-13.4969,2.9234,-1.2602,0.4220,-1.2602,2.5234,-3.1782,-0.2542,0.5602,0.0094,-0.2776,0.1291
143,1.0463,1.1695,0.0295,-13.5242,-14.4152,2.7881,-1.3374,-0.9183,-1.3374,3.7326,-2.7117,-0.4472,-0.1686,-0.0296,0.0813,0.0134
144,0.9504,0.6268,0.0652,-14.7934,-14.4258,2.6857,-1.2692,-0.0106,-1.2692,0.6409,-4.6362,0.1782,0.4710,-0.2121,0.1268,-0.0284
145,1.4233,1.2552,0.0890,-16.3911,-14.6301,2.9302,-1.5977,-0.2042,-1.5977,4.4419,-4.9837,-0.1836,0.1727,-0.0185,0.2925,0.0623
146,1.2958,0.6956,0.0697,-17.6401,-15.4043,3.0892,-1.2490,-0.7742,-1.2490,3.1617,-5.0240,0.0353,-0.4540,-0.0181,0.3334,-0.0309
147,0.8151,0.7684,0.0589,-18.4044,-15.4746,-2.8882,-0.7643,-0.0703,-0.7643,2.6358,1.2363,0.1175,0.2081,-0.0988,0.1984,-0.1276
148,0.1342,0.1706,0.0695,-18.4161,-15.9661,-2.6618,-0.0117,-0.4915,-0.0117,2.5934,1.0605,0.1503,-0.4995,0.0189,0.2269,0.0684
149,0.7460,1.7735,0.1629,-18.1301,-18.0273,-2.4244,0.2861,-2.0612,0.2861,0.5709,-0.1366,0.2702,-0.0363,0.0628,0.2172,-0.1050
150,0.2238,1.7582,0.1074,-16.8566,-19.6157,-2.2830,1.2734,-1.5884,1.2734,1.9844,4.6566,0.1257,-0.5988,0.0923,0.0246,0.1864
